"NU_ANO_CENSO";"CO_UF";"CO_MUNICIPIO";"NO_ENTIDADE";"CO_ENTIDADE";"DS_ENDERECO";"NU_ENDERECO";"DS_COMPLEMENTO";"NO_BAIRRO";"CO_CEP";"NU_DDD";"NU_TELEFONE";"NU_TELEFONE_PUBLICO";"NU_FAX";"latitude";"longitude";"email";"url_website";"abr_nome"
2018;43;4314902;"EMEI DO JARDIM SALOMONI";43173675;"R JOAQUIM DE CARVALHO";"325";"VILA NOVA";"VILA NOVA";91740840;"51";"32464712";"-";"32464712";"-30.1165";"-51.2205";"emei.jardimsalomoni@smed.prefpoa.com.br           ";"http://websmed.portoalegre.rs.gov.br/escolas/jardimsalomoni/                                        ";"SALOMONI                      "
2018;43;4314902;"EMEI DA VILA MAX GEISS";43173667;"R ANTONIO FRANCISCO LISBOA";"400";"RUBEM BERTA";"RUBEM BERTA";91180040;"51";"33653448";"-";"33653448";"-30.008";"-51.0968";"emei.vilamaxgeiss@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/vilamaxgeiss/                                          ";"MAX GEISS                     "
2018;43;4314902;"EMEI MARIA HELENA CAVALHEIRO GUSMAO";43173659;"R SILVINO OLIVEIRA";"250";"-";"VILA NOVA";91750057;"51";"32464821";"-";"32464821";"-30.1249";"-51.2194";"emei.mariahelenagusmao@smed.prefpoa.com.br        ";"http://websmed.portoalegre.rs.gov.br/escolas/mhgusmao/                                              ";"MARIA HELENA                  "
2018;43;4314902;"EMEI VALE VERDE";43173632;"BC FRANKLIN";"270";"JARDIM SABARA";"JAR ITU SABARA";91210060;"51";"33862044";"-";"33862044";"-30.040799999999997";"-51.1431";"emei.valeverde@smed.prefpoa.com.br                ";"http://websmed.portoalegre.rs.gov.br/escolas/valeverde/                                             ";"VALE VERDE                    "
2018;43;4314902;"EMEI DA VILA ELIZABETH";43173624;"R PAULO GOMES DE OLIVEIRA";"120";"VILA ELIZABETH";"SARANDI";91120570;"51";"33645013";"33563600";"33645013";"-29.9803";"-51.1271";"emei.vilaelizabeth@smed.prefpoa.com.br            ";"http://websmed.portoalegre.rs.gov.br/escolas/vilaelizabeth/                                         ";"VILA ELIZABETH                "
2018;43;4314902;"EMEI DA VILA FLORESTA";43173616;"R MONTE ALEGRE";"55";"JARDIM FLORESTA";"JARDIM FLORESTA";91040120;"51";"33622088";"33611639";"33622088";"-30.0035";"-51.1562";"emei.vilafloresta@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/vilafloresta/                                          ";"VILA FLORESTA                 "
2018;43;4314902;"EMEI MARIA MARQUES FERNANDES";43173608;"AV SANTO DIAS DA SILVA";"550";"-";"LOMBA PINHEIRO";91550500;"51";"33191208";"33192555";"33191208";"-30.0967";"-51.1327";"emei.mariafernandes@smed.prefpoa.com.br           ";"http://websmed.portoalegre.rs.gov.br/escolas/mariamarquesfernandes/                                 ";"MARIA MARQUES                 "
2018;43;4314902;"EMEI VILA NOVA";43173594;"R FERNANDO PESSOA";"350";"-";"VILA NOVA";91750340;"51";"32895853";"-";"32464819";"-30.1261";"-51.2094";"emei.vilanova@smed.prefpoa.com.br                 ";"                                                                                                    ";"VILA NOVA                     "
2018;43;4314902;"EMEI DOM LUIZ DE NADAL";43173586;"R DR CARLOS NIEDERAUER HOFMEISTER";"808";"RESTINGA";"RESTINGA";91790020;"51";"32481410";"-";"32481410";"-30.1504";"-51.1395";"emei.luizdenadal@smed.prefpoa.com.br              ";"                                                                                                    ";"LUIZ DE NADAL                 "
2018;43;4314902;"EMEI FLORENCIA VURLOD SOCIAS";43173578;"R TEN ARIZOLY FAGUNDES";"250";"ACESSO I SN";"RESTINGA";91790520;"51";"32501703";"-";"32501703";"-30.1536";"-51.1433";"emei.florenciasocias@smed.prefpoa.com.br          ";"http://websmed.portoalegre.rs.gov.br/escolas/florenciavsocias/                                      ";"FLORENCIA                     "
2018;43;4314902;"EMEI DA VILA NOVA RESTINGA";43173560;"R ALVARO DIFINI";"480";"-";"RESTINGA";91790560;"51";"32501600";"-";"32501600";"-30.1487";"-51.1452";"emei.vilanovarestinga@smed.prefpoa.com.br         ";"                                                                                                    ";"NOVA RESTINGA                 "
2018;43;4314902;"EMEI DA VILA DA PASCOA";43173551;"R LORIS JOSE ISATTO";"0";"VL SANTA ROSA";"RUBEM BERTA";91160160;"51";"33673434";"33879221";"33673434";"-29.9928";"-51.1067";"emei.viladapascoa@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/vilapascoa/                                            ";"VILA DA PÁSCOA                "
2018;43;4314902;"EMEI DA VILA TRONCO";43173543;"AV MOAB CALDAS";"129";"SANTA TEREZA";"SANTA TEREZA";90880310;"51";"32669519";"-";"32669519";"-30.0679";"-51.2145";"emei.vilatronco@smed.prefpoa.com.br               ";"                                                                                                    ";"VILA TRONCO                   "
2018;43;4314902;"EMEI DR WALTER SILBER";43173535;"R FREI CLEMENTE";"150";"-";"SAO JOSE";91520260;"51";"33361893";"-";"33361893";"-30.0708";"-51.1698";"emei.waltersilber@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/drwaltersilber/                                        ";"WALTER SILBER                 "
2018;43;4314902;"EMEI DOS MUNICIPARIOS TIO BARNABE";43173527;"R OTTO ERNST MEYER";"55";"AZENHA";"AZENHA";90050060;"51";"32274591";"-";"-";"-30.0464";"-51.2157";"emei.tiobarnabe@smed.prefpoa.com.br               ";"http://websmed.portoalegre.rs.gov.br/escolas/barnabe/                                               ";"TIO BARNABÉ                   "
2018;43;4314902;"EMEI PARQUE DOS MAIAS II";43173519;"R AMAURI CAFRUNE";"149";"-";"RUBEM BERTA";91170075;"51";"33673816";"-";"33673816";"-30.0048";"-51.095";"emei.parquedosmaias2@smed.prefpoa.com.br          ";"http://websmed.portoalegre.rs.gov.br/escolas/parquemaias/parquemaias/                               ";"EMEI PARQUE                   "
2018;43;4314902;"EMEI DA VILA NOVA SAO CARLOS";43173500;"C ESTR JOAO DE OLIVEIRA REMIAO";"1";"-";"LOMBA DO PINHEIRO";91560695;"51";"33191146";"-";"33191146";"-30.1107";"-51.1106";"emei.vilanovasaocarlos@smed.prefpoa.com.br        ";"http://websmed.portoalegre.rs.gov.br/escolas/vilanovasaocarlos/                                     ";"NOVA SÃO CARLOS               "
2018;43;4314902;"EMEI DA VILA MAPA II";43173497;"R PEDRO GOLOMBIEWSKI";"100";"LOMBA DO PINHEIRO";"LOMBA PINHEIRO";91550230;"51";"33191633";"-";"33191633";"-30.0961";"-51.1345";"emei.vilamapa2@smed.prefpoa.com.br                ";"http://websmed.portoalegre.rs.gov.br/escolas/vilamapaii/                                            ";"VILA MAPA II                  "
2018;43;4314902;"EMEI ILHA DA PINTADA";43175163;"R GARRUCHOS";"0";"ILHA DA PINTADA";"ARQUIPELAGO";90090080;"51";"32117542";"-";"32117542";"-30.0165";"-51.2604";"emei.ilhadapintada@smed.prefpoa.com.br            ";"http://websmed.portoalegre.rs.gov.br/escolas/ilhadapintada/index.htm                                ";"ILHA DA PINTADA               "
2018;43;4314902;"EMEI JARDIM CAMAQUA";43173489;"R JARDIM DAS BROMELIAS";"1";"-";"CAMAQUA";91920400;"51";"32414986";"32417143";"32414986";"-30.1116";"-51.2354";"emei.jardimcamaqua@smed.prefpoa.com.br            ";"http://websmed.portoalegre.rs.gov.br/escolas/camaqua/index.htm                                      ";"JARDIM CAMAQUÃ                "
2018;43;4314902;"EMEI PADRE ANGELO COSTA";43173470;"R PRIMEIRO DE MARCO";"300";"-";"SAO JOSE";91520620;"51";"33183108";"33183174";"33183108";"-30.066";"-51.1676";"emei.angelocosta@smed.prefpoa.com.br              ";"http://websmed.portoalegre.rs.gov.br/escolas/padreangelocosta/                                      ";"PE ÂNGELO COSTA               "
2018;43;4314902;"EMEI PROTASIO ALVES";43173462;"R ARACY FROES";"210";"JARDIM SABARA";"JAR ITU SABARA";91210230;"51";"33383510";"-";"33383510";"-30.039499999999997";"-51.144299999999994";"emei.protasioalves@smed.prefpoa.com.br            ";"http://websmed.portoalegre.rs.gov.br/escolas/protasioalves/index.htm                                ";"PROTÁSIO ALVES                "
2018;43;4314902;"EMEI NOVA GLEBA";43173454;"R GUIDO ALBERTO WERLANG";"747";"-";"RUBEM BERTA";91170300;"51";"33674007";"-";"33674007";"-29.9991";"-51.0934";"emei.novagleba@smed.prefpoa.com.br                ";"http://websmed.portoalegre.rs.gov.br/escolas/novagleba                                              ";"NOVA GLEBA                    "
2018;43;4314902;"EMEI DA VILA SANTA ROSA";43175155;"AV DONARIO BRAGA";"1";"VILA SANTA ROSA";"RUBEM BERTA";91160360;"51";"33876499";"-";"33876499";"-29.998";"-51.1032";"emei.vilasantarosa@smed.prefpoa.com.br            ";"http://websmed.portoalegre.rs.gov.br/escolas/vilasantarosa/                                         ";"SANTA ROSA                    "
2018;43;4314902;"EMEI HUMAITA";43175147;"R DR CAIO BRANDAO DE MELLO";"1";"HUMAITA";"HUMAITA";90250110;"51";"33744223";"-";"33744223";"-29.9804";"-51.1855";"emei.humaita@smed.prefpoa.com.br                  ";"http://websmed.portoalegre.rs.gov.br/escolas/humaita                                                ";"HUMAITÁ                       "
2018;43;4314902;"EMEI PONTA GROSSA";43175139;"ESTR RETIRO DA PONTA GROSSA";"3581";"-";"PONTA GROSSA";91780590;"51";"32464812";"-";"32464812";"-30.185";"-51.2103";"emei.pontagrossa@smed.prefpoa.com.br              ";"http://websmed.portoalegre.rs.gov.br/escolas/pgrossa/                                               ";"PONTA GROSSA                  "
2018;43;4314902;"EMEI DA VILA VALNERI ANTUNES";43177026;"AV MARTIM FELIX BERTA";"2353";"VILA VALNERI ANTUNES";"RUBEM BERTA";91270650;"51";"33876077";"-";"33876077";"-30.0304";"-51.112";"emei.vilavalneriantunes@smed.prefpoa.com.br       ";"http://websmed.portoalegre.rs.gov.br/escolas/valneriantunes/                                        ";"VALNERI                       "
2018;43;4314902;"EMEI OSMAR DOS SANTOS FREITAS";43181112;"BC UM RUA DONA OTILIA";"497";"SANTA TEREZA";"SANTA TEREZA";90830582;"51";"32666766";"32666646";"32666766";"-30.0805";"-51.2279";"emei.osmarfreitas@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/osmarsantos/                                           ";"OSMAR FREITAS                 "
2018;43;4314902;"EMEI PAULO FREIRE";43181376;"AV MERIDIONAL";"0";"ESQUINA RUA TOBAGO";"RESTINGA";91790070;"51";"32502430";"32507261";"-";"-30.1561";"-51.1381";"emei.paulofreire@smed.prefpoa.com.br              ";"http://websmed.portoalegre.rs.gov.br/escolas/paulofreire/                                           ";"PAULO FREIRE                  "
2018;43;4314902;"EMEI MAMAE CORUJA";43185401;"AV BENTO GONCALVES";"642";"-";"AZENHA";90650000;"51";"32310488";"-";"32310488";"-30.0519";"-51.2066";"mamaecoruja@smed.prefpoa.com.br                   ";"http://websmed.portoalegre.rs.gov.br/escolas/mamaecoruja/                                           ";"MAMÃE CORUJA                  "
2018;43;4314902;"EMEI MIGUEL GRANATO VELASQUEZ";43048196;"R ARMANDO COSTA";"0";"LOTEAMENTO BONANZA";"SARANDI";91120450;"51";"33440759";"-";"-";"-29.9821";"-51.1239";"miguelvelasquez@smed.prefpoa.com.br               ";"                                                                                                    ";"MIGUEL VELASQUEZ              "
2018;43;4314902;"EMEI SANTO EXPEDITO";43141790;"R SANTO EXPEDITO";"0";"-";"RUBEM BERTA";91180265;"51";"33656802";"-";"-";"-30.0074";"-51.1004";"liaf.fadini@smed.prefpoa.com.br                   ";"                                                                                                    ";"SANTO EXPEDITO                "
2018;43;4314902;"EMEF AFONSO GUERREIRO LIMA";43105440;"R GUAIBA-LOMBA DO PINHEIRO";"203";"PARADA 11";"LOMBA PINHEIRO";91560640;"51";"33191011";"-";"33191011";"-30.111348";"-51.112296";"emef.afonsoguerreiro@smed.prefpoa.com.br          ";"http://websmed.portoalegre.rs.gov.br/escolas/guerreiro/                                             ";"AFONSO                        "
2018;43;4314902;"EMEF SEN ALBERTO PASQUALINI";43107842;"R TEN ARIZOLY FAGUNDES";"250";"QUARTA UNIDADE";"RESTINGA";91790520;"51";"32501648";"-";"32501648";"-30.152845";"-51.143479";"emef.albertopasqualini@smed.prefpoa.com.br        ";"http://websmed.portoalegre.rs.gov.br/escolas/pasqualini/                                            ";"PASQUALINI                    "
2018;43;4314902;"EMEF AMERICA";43105459;"RUA PADRE ANGELO COSTA";"175";"VILA VARGAS";"PARTENON";91520161;"51";"33181076";"-";"33181076";"-30.078504";"-51.167847";"emef.america@smed.prefpoa.com.br                  ";"http://websmed.portoalegre.rs.gov.br/escolas/america/                                               ";"AMÉRICA                       "
2018;43;4314902;"EMEF ARAMY SILVA";43105467;"R CHICO PEDRO";"390";"CAMAQUA";"CAMAQUA";91910650;"51";"32413382";"-";"32413382";"-30.097866";"-51.241577";"emef.aramysilva@smed.prefpoa.com.br               ";"http://websmed.portoalegre.rs.gov.br/escolas/aramy/                                                 ";"ARAMY                         "
2018;43;4314902;"EMEF DECIO MARTINS COSTA";43105475;"R CRISTOVAO JAQUES";"488";"-";"SARANDI";91140420;"51";"33472935";"-";"33472935";"-29.988972";"-51.107087";"emef.deciocosta@smed.prefpoa.com.br               ";"http://websmed.portoalegre.rs.gov.br/escolas/decio/                                                 ";"DÉCIO                         "
2018;43;4314902;"EMEF DOLORES ALCARAZ CALDAS";43105483;"R DR CARLOS NIEDERAUER HOFMEISTER";"85";"-";"RESTINGA";91790020;"51";"32501609";"-";"32501609";"-30.151252";"-51.137753";"emef.dolorescaldas@smed.prefpoa.com.br            ";"http://websmed.portoalegre.rs.gov.br/escolas/dolores/                                               ";"DOLORES                       "
2018;43;4314902;"EMEF PROF GILBERTO JORGE GONCALVES DA SILVA";43109071;"R MORRO ALTO";"433";"-";"IPANEMA";91751650;"51";"32464603";"-";"32464603";"-30.137165999999997";"-51.211226999999994";"emef.gilbertojorge@hotmail.com                    ";"http://websmed.portoalegre.rs.gov.br/escolas/gjorge/                                                ";"GILBERTO JORGE                "
2018;43;4314902;"EMEF GRANDE ORIENTE DO RGS";43108571;"R WOLFRAM METZLER";"600";"-";"RUBEM BERTA";91250320;"51";"33661602";"-";"33661602";"-30.024317";"-51.104082";"emef.grandeoriente@smed.prefpoa.com.br            ";"http://websmed.portoalegre.rs.gov.br/escolas/oriente/                                               ";"GRANDE ORIENTE                "
2018;43;4314902;"EMEF GOV ILDO MENEGHETTI";43107508;"R JAYME CYRINO MACHADO DE OLIVEIRA";"250";"RUBEM BERTA";"RUBEM BERTA";91160060;"51";"33673218";"-";"33673218";"-29.993514";"-51.105236";"emef.ildomeneghetti@smed.prefpoa.com.br           ";"http://websmed.portoalegre.rs.gov.br/escolas/ildo/                                                  ";"ILDO                          "
2018;43;4314902;"EMEF JOSE LOUREIRO DA SILVA";43105491;"AV CAPIVARI";"1999";"-";"CRISTAL";90810070;"51";"32665175";"-";"32665175";"-30.082424";"-51.232502";"emef.loureiro@escolas.prefpoa.com.br              ";"http://websmed.portoalegre.rs.gov.br/escolas/loureiro/                                              ";"LOUREIRO                      "
2018;43;4314902;"EMEF PRES JOAO BELCHIOR MARQUES GOULART";43108563;"R JOAO LUIZ PUFAL";"100";"VILA ELIZABETH";"SARANDI";91120530;"51";"33644223";"-";"33644223";"-29.979264999999998";"-51.126152999999995";"emef.joaogoulart@smed.prefpoa.com.br              ";"http://websmed.portoalegre.rs.gov.br/escolas/goulart/                                               ";"JOÃO GOULART                  "
2018;43;4314902;"EMEF PROF JUDITH MACEDO DE ARAUJO";43109055;"R SAUL CONSTANTINO VL SJ COMUNITARIA";"100";"SAO JOSE";"SAO JOSE";91520716;"51";"33851308";"-";"33851308";"-30.076075";"-51.163616999999995";"emef.judithdearaujo@smed.prefpoa.com.br           ";"http://websmed.portoalegre.rs.gov.br/escolas/judith/                                                ";"JUDITH                        "
2018;43;4314902;"EMEF PROF LARRY JOSE RIBEIRO ALVES";43109098;"AV ECON NILO WULFF";"1000";"S/N";"RESTINGA";91790000;"51";"32501656";"-";"32501656";"-30.15065";"-51.143603";"emef.larry@smed.prefpoa.com.br                    ";"http://websmed.portoalegre.rs.gov.br/escolas/larry/                                                 ";"LARRY ALVES                   "
2018;43;4314902;"EMEF LEOCADIA FELIZARDO PRESTES";43109063;"R ROMEU DE VASCONCELLOS ROSA";"10";"LOTEAMENTO DO SALSO";"VILA NOVA";91751370;"51";"32464648";"-";"32464648";"-30.129188";"-51.216406";"emef.leocadiaprestes@smed.prefpoa.com.br          ";"http://websmed.portoalegre.rs.gov.br/escolas/leocadia/                                              ";"LEOCÁDIA                      "
2018;43;4314902;"EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA";43105505;"R XAVIER DE CARVALHO";"274";"-";"SARANDI";91110440;"51";"33641065";"-";"33641065";"-29.993935";"-51.133246";"emeb.liberatosalzano@smed.prefpoa.com.br          ";"http://websmed.portoalegre.rs.gov.br/escolas/liberato/                                              ";"LIBERATO                      "
2018;43;4314902;"EMEF VER MARTIM ARANHA";43109101;"R CONEGO PAULO ISIDORO DE NADAL";"1";"SANTA TERESA";"SANTA TEREZA";90830540;"51";"32666228";"-";"32666228";"-30.085076";"-51.228443";"emef.martimaranha@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/martim/                                                ";"MARTIM ARANHA                 "
2018;43;4314902;"EMEF NOSSA SENHORA DE FATIMA";43105513;"R A VILA N S FATIMA-DIVINEIA";"15";"-";"BOM JESUS";91420701;"51";"33383695";"-";"33383695";"-30.046837";"-51.158048";"emef.fatima@smed.prefpoa.com.br                   ";"http://websmed.portoalegre.rs.gov.br/escolas/fatima/                                                ";"FÁTIMA                        "
2018;43;4314902;"EMEF PEPITA DE LEAO";43105521;"R ESTADIO";"29";"-";"PASSO DAS PEDRAS";91230030;"51";"33441522";"-";"33441522";"-30.015379";"-51.128178";"emef.pepitadeleao@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/pepita/                                                ";"PEPITA                        "
2018;43;4314902;"EMEF PRESIDENTE VARGAS";43105530;"RUA ANA AURORA DO AMARAL LISBOA";"60";"-";"PASSO DAS PEDRAS";91230000;"51";"33481732";"-";"33481732";"-30.016683";"-51.12712";"emef.presidentevargas@smed.prefpoa.com.br         ";"http://websmed.portoalegre.rs.gov.br/escolas/presidente/                                            ";"PRESIDENTE                    "
2018;43;4314902;"EMEF HEITOR VILLA LOBOS";43105548;"AV SANTO DIAS DA SILVA";"1";"VILA MAPA";"LOMBA PINHEIRO";91550500;"51";"33191413";"-";"33191413";"-30.095022";"-51.137694";"emef.villalobos@smed.prefpoa.com.br               ";"http://websmed.portoalegre.rs.gov.br/escolas/villalobos/                                            ";"VILLA                         "
2018;43;4314902;"EMEF JOAO ANTONIO SATTE";43109217;"AV GAMAL ABDEL NASSER";"500";"-";"RUBEM BERTA";91170001;"51";"33675453";"-";"33675453";"-29.999548";"-51.092938";"emef.joaosatte@smed.prefpoa.com.br                ";"http://websmed.portoalegre.rs.gov.br/escolas/joaosatte/satte/                                       ";"JOÃO SATTE                    "
2018;43;4314902;"EMEF PROF ANA IRIS DO AMARAL";43109195;"AV MARIO MENEGHETTI";"1000";"-";"MORRO SANTANA";91260190;"51";"33862690";"-";"33862690";"-30.031062";"-51.125223";"emef.anairis@smed.prefpoa.com.br                  ";"http://websmed.portoalegre.rs.gov.br/escolas/anairis/                                               ";"ANA IRIS                      "
2018;43;4314902;"EMEF JOSE MARIANO BECK";43169490;"AV JOAQUIM PORTO VILLANOVA";"135";"VILA PINTO";"JARDIM CARVALHO";91410400;"51";"33383985";"-";"33383985";"-30.048134";"-51.156208";"emef.marianobeck@smed.prefpoa.com.br              ";"http://websmed.portoalegre.rs.gov.br/escolas/mariano/                                               ";"MARIANO                       "
2018;43;4314902;"EMEF VER CARLOS PESSOA DE BRUM";43109080;"R ABOLICAO";"1";"RESTINGA VELHA";"RESTINGA";91790130;"51";"32501698";"-";"32501698";"-30.156746";"-51.135767";"emef.pessoadebrum@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/pessoa/                                                ";"PESSOA DE BRUM                "
2018;43;4314902;"EMEEF PROF ELYSEU PAGLIOLI";43179002;"R BUTUI";"221";"-";"CRISTAL";90820150;"51";"32414985";"-";"32414985";"-30.086837";"-51.238018";"emeef.elyseupaglioli@smed.prefpoa.com.br          ";"http://websmed.portoalegre.rs.gov.br/escolas/elyseu/                                                ";"ELYSEU PAGLIOLI               "
2018;43;4314902;"EMEF GABRIEL OBINO";43109233;"AV ENG LUDOLFO BOEHL";"1402";"GLORIA";"CASCATA";91720150;"51";"33155928";"-";"33155928";"-30.083766";"-51.200002";"emef.gabrielobino@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/obino/                                                 ";"GABRIEL OBINO                 "
2018;43;4314902;"EMEF VER ANTONIO GIUDICE";43172482;"R DR CAIO BRANDAO DE MELLO";"1";"-";"HUMAITA";90250110;"51";"33741808";"-";"33741808";"-29.980423";"-51.185486";"emef.antoniogiudice@smed.prefpoa.com.br           ";"http://websmed.portoalegre.rs.gov.br/escolas/giudice/                                               ";"ANTÔNIO GIÚDICE               "
2018;43;4314902;"EMEF LAURO RODRIGUES";43109209;"R DR MARINO ABRAHAO";"240";"-";"PASSO DAS PEDRAS";91230260;"51";"33481132";"-";"33481132";"-30.018017";"-51.123867";"emef.laurorodrigues@smed.prefpoa.com.br           ";"http://websmed.portoalegre.rs.gov.br/escolas/lauro/                                                 ";"LAURO RODRIGUES               "
2018;43;4314902;"EMEF LIDOVINO FANTON";43109144;"R MANOEL FARIA DA ROSA PRIMO";"940";"RESTINGA VELHA";"RESTINGA";91790770;"51";"32501702";"-";"32501702";"-30.1611";"-51.1437";"escolalidovinofanton@gmail.com                    ";"http://websmed.portoalegre.rs.gov.br/escolas/lidovino/                                              ";"LIDOVINO                      "
2018;43;4314902;"EMEEF PROF LYGIA MORRONE AVERBUCK";43178995;"R SAO JOSEMARIA ESCRIVA";"0";"S/N";"JARDIM DO SALSO";91410000;"51";"33381518";"33383286";"33381518";"-30.054371";"-51.166291";"emeef.lygiaaverbuck@smed.prefpoa.com.br           ";"http://websmed.portoalegre.rs.gov.br/escolas/lygia/                                                 ";"LYGIA                         "
2018;43;4314902;"EMEF DEP MARCIRIO GOULART LOUREIRO";43109128;"R SAIBREIRA";"1";"-";"CEL AP BORGES";91510350;"51";"33156069";"-";"33156069";"-30.076641";"-51.173593";"emef.marcirioloureiro@smed.prefpoa.com.br         ";"http://websmed.portoalegre.rs.gov.br/escolas/marcirio/                                              ";"MARCÍRIO                      "
2018;43;4314902;"EMEF DEP VICTOR ISSLER";43109225;"R DEZENOVE DE FEVEREIRO";"330";"PROTASIO ALVES";"MARIO QUINTANA";91270450;"51";"33862097";"-";"32895838";"-30.035412";"-51.116866";"emef.victorissler@smed.prefpoa.com.br             ";"http://websmed.portoalegre.rs.gov.br/escolas/victor/                                                ";"VICTOR ISSLER                 "
2018;43;4314902;"EMEEF PROF LUIZ FRANCISCO LUCENA BORGES";43179010;"R CLAUDIO MANOEL DA COSTA";"270";"-";"JAR ITU SABARA";91210250;"51";"33383350";"33893304";"33383350";"-30.034029999999998";"-51.146037";"emeef.lucenaborges@smed.prefpoa.com.br            ";"http://websmed.portoalegre.rs.gov.br/escolas/lucena/                                                ";"LUCENA                        "
2018;43;4314902;"EMEF JEAN PIAGET";43172474;"AV MAJOR MANOEL JOSE MONTEIRO";"1";"-";"RUBEM BERTA";91170570;"51";"33662480";"-";"33662480";"-30.004744";"-51.094988";"emef.jeanpiaget@smed.prefpoa.com.br               ";"http://websmed.portoalegre.rs.gov.br/escolas/jeanpiaget                                             ";"JEAN PIAGET                   "
